statistic,player_name,team_name,no,top_25,year,league,stat_title,statistic_id,player_id,year_id,league_id
Stolen Bases,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,14,85,4,1
Total Bases,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,16,85,4,1
Triples,To Be Determined,--,,Top 25,2025,National League,Hitting Statistics,17,85,4,1
Complete Games,Gerrit Cole,New York Yankees,2.0,Top 25,2021,American League,Pitching Statistics,2,34,0,0
ERA,Robbie Ray,Toronto Blue Jays,2.84,Top 25,2021,American League,Pitching Statistics,4,73,0,0
Games,Bryan Shaw,Cleveland Indians,81.0,Top 25,2021,American League,Pitching Statistics,5,11,0,0
Saves,Liam Hendriks,Chicago White Sox,38.0,Top 25,2021,American League,Pitching Statistics,11,60,0,0
Shutouts,Sean Manaea,Oakland Athletics,2.0,Top 25,2021,American League,Pitching Statistics,12,79,0,0
Strikeouts,Robbie Ray,Toronto Blue Jays,248.0,Top 25,2021,American League,Pitching Statistics,15,73,0,0
Winning Percentage,"Lance McCullers, Jr.",Houston Astros,0.722,Top 25,2021,American League,Pitching Statistics,18,59,0,0
Wins,Gerrit Cole,New York Yankees,16.0,Top 25,2021,American League,Pitching Statistics,19,34,0,0
Complete Games,Framber Valdez,Houston Astros,3.0,Top 25,2022,American League,Pitching Statistics,2,29,1,0
ERA,Justin Verlander,Houston Astros,1.75,Top 25,2022,American League,Pitching Statistics,4,51,1,0
Games,Adam Cimber,Toronto Blue Jays,77.0,Top 25,2022,American League,Pitching Statistics,5,2,1,0
Saves,Emmanuel Clase,Cleveland Guardians,42.0,Top 25,2022,American League,Pitching Statistics,11,25,1,0
Shutouts,Dylan Cease,Chicago White Sox,1.0,Top 25,2022,American League,Pitching Statistics,12,21,1,0
Strikeouts,Corbin Burnes,Milwaukee Brewers,243.0,Top 25,2022,American League,Pitching Statistics,15,15,1,0
Winning Percentage,Justin Verlander,Houston Astros,0.818,Top 25,2022,American League,Pitching Statistics,18,51,1,0
Wins,Justin Verlander,Houston Astros,18.0,Top 25,2022,American League,Pitching Statistics,19,51,1,0
